session_id,trial_id,activity_label,expected_type,timestamp_ms,type,state,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,svm_raw_g,svm_filtered_g,pitch_deg,roll_deg,pitch_before_deg,roll_before_deg,pitch_after_deg,roll_after_deg,pitch_delta_deg,roll_delta_deg,posture_delta_deg,impact_threshold_g,posture_threshold_deg,stabilize_ms,decision,note
S01,T06,side_fall_left,fall,853869,imu_sample,IDLE,0.336,0.874,0.01,0.64,-1.26,0.92,0.936,0.931,89.86,-21.13,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,854171,imu_sample,IDLE,0.345,0.874,0.004,0.46,-1.41,0.15,0.939,0.939,89.8,-21.62,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,854473,imu_sample,IDLE,0.36,0.878,-0.008,1.91,-0.2,0.23,0.949,0.946,90.28,-22.68,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,854774,imu_sample,IDLE,0.344,0.872,-0.015,1.33,1.32,-1.14,0.937,0.938,90.4,-22.17,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,855076,imu_sample,IDLE,0.297,0.875,-0.015,11.11,0.5,-2.61,0.924,0.919,91.42,-18.41,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,855378,imu_sample,IDLE,0.36,0.882,-0.032,0.17,2.9,3.86,0.954,0.953,92.33,-20.73,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,855680,imu_sample,IDLE,0.392,0.895,-0.039,0.84,3.46,2.03,0.978,0.975,92.49,-22.39,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,855980,imu_sample,IDLE,0.394,0.888,-0.038,0.04,1.34,-0.64,0.972,0.973,92.66,-23.44,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,856282,imu_sample,IDLE,0.377,0.886,-0.029,0.38,-0.1,-2.58,0.963,0.963,92.37,-23.47,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,856585,imu_sample,IDLE,0.367,0.878,-0.067,4.43,-8.29,-4.08,0.954,0.947,93.24,-22.63,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,856887,imu_sample,IDLE,0.352,0.89,-0.071,6.17,-19.9,-10.88,0.96,0.958,94.94,-24.06,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,857186,imu_sample,IDLE,0.356,0.812,-0.129,12.79,-29.65,-18.32,0.896,0.904,98.43,-26.71,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,857488,imu_sample,IDLE,0.435,0.649,-0.359,-22.4,-61.91,3.08,0.859,0.817,109.85,-34.94,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,857788,imu_sample,IDLE,0.74,0.675,-0.385,-62.58,-13.79,-114.34,1.073,1.063,117.21,-45.61,100.21,-22.24,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,857914,imu_impact,IMPACT_DETECTED,0.599,2.237,0.014,-31.09,-116.14,-200.12,2.316,2.061,102.02,-39.64,102.02,-39.64,0,0,0,0,0,2,45,1500,pending,
S01,T06,side_fall_left,fall,858090,imu_sample,WAIT_STABILIZE,-0.25,-0.162,1.765,204.9,151.09,-71.4,1.79,1.485,81.81,-23.31,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,858390,imu_sample,WAIT_STABILIZE,-0.348,-0.469,0.393,-44.06,-84.42,-77.94,0.704,0.93,-29.45,12.54,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,858692,imu_sample,WAIT_STABILIZE,0.449,-0.34,0.491,-15.77,-22.45,5.62,0.747,0.72,-44.14,-24.96,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
S01,T06,side_fall_left,fall,858994,imu_sample,WAIT_STABILIZE,0.348,-0.513,0.626,32.52,-0.37,-3.36,0.881,0.938,-32.9,-22.92,102.02,-39.64,0,0,0,0,0,2,45,1500,sample,
