session_id,trial_id,activity_label,expected_type,timestamp_ms,type,state,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,svm_raw_g,svm_filtered_g,pitch_deg,roll_deg,pitch_before_deg,roll_before_deg,pitch_after_deg,roll_after_deg,pitch_delta_deg,roll_delta_deg,posture_delta_deg,impact_threshold_g,posture_threshold_deg,stabilize_ms,decision,note
S01,T09,backward_fall,fall,977669,imu_sample,IDLE,0.459,0.887,-0.002,1.46,-0.13,-0.2,0.999,0.99,90.61,-27.66,112.9,-8.45,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,977971,imu_sample,IDLE,0.472,0.886,-0.016,1.62,0.16,0.18,1.004,1.001,91.1,-27.8,112.9,-8.45,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,978271,imu_sample,IDLE,0.459,0.883,-0.009,-2.83,-1.12,0,0.996,0.999,91.19,-27.57,112.9,-8.45,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,978571,imu_sample,IDLE,0.467,0.882,-0.011,3.08,-2.84,-1.62,0.998,0.995,91.23,-27.93,112.9,-8.45,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,978871,imu_sample,IDLE,0.462,0.851,-0.075,13.24,-2.51,-1.04,0.972,0.976,93.52,-28.5,112.9,-8.45,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,979174,imu_sample,IDLE,0.455,0.768,-0.222,23.71,2.65,-0.23,0.92,0.948,103.16,-27.85,112.9,-8.45,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,979473,imu_sample,IDLE,0.509,0.739,-0.317,4.33,56.9,11.48,0.951,0.953,112.47,-27.3,112.9,-8.45,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,979774,imu_sample,IDLE,0.508,1.044,-0.384,-85.63,30.16,-5.21,1.223,1.238,103.4,-26.5,112.9,-8.45,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,980009,imu_impact,IMPACT_DETECTED,0.428,2.41,0.749,269.27,-103.79,-28.46,2.56,2.081,95.37,-26.47,95.37,-26.47,0,0,0,0,0,2,45,1500,pending,
S01,T09,backward_fall,fall,980074,imu_sample,IMPACT_DETECTED,0.758,0.878,0.16,-496.78,98.55,23.76,1.171,4.538,106.17,-29.31,95.37,-26.47,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,980374,imu_sample,WAIT_STABILIZE,0.452,0.67,1.681,-234.09,-77.64,21.88,1.866,1.83,-35.44,-32.99,95.37,-26.47,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,980674,imu_sample,WAIT_STABILIZE,0.683,0.404,0.52,2.23,22.93,11.89,0.949,1.114,-38.61,-50.23,95.37,-26.47,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,980974,imu_sample,WAIT_STABILIZE,0.501,-0.222,0.653,10.55,14.03,4.73,0.853,0.896,-33.49,-38.32,95.37,-26.47,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,981276,imu_sample,WAIT_STABILIZE,0.573,-0.205,0.547,-11.34,-6.25,-3.36,0.819,0.811,-27.73,-39.53,95.37,-26.47,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,981576,imu_sample,WAIT_STABILIZE,0.571,-0.37,0.644,-4.43,5.08,3.13,0.936,0.937,-29.01,-40.72,95.37,-26.47,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,981607,imu_decision,POSTURE_CHECK,0.551,-0.364,0.639,-1.59,1.83,0.69,0.919,0.937,-29.21,-40.02,95.37,-26.47,-29.21,-40.02,124.58,13.54,124.58,2,45,1500,suspected_fall,
S01,T09,backward_fall,fall,996614,imu_sample,IDLE,0.571,-0.343,0.587,-0.15,0.39,0.14,0.888,0.894,-29.95,-39.85,95.37,-26.47,0,0,0,0,0,2,45,1500,sample,
S01,T09,backward_fall,fall,996917,imu_sample,IDLE,0.572,-0.341,0.599,0.61,1.26,0.18,0.896,0.894,-29.85,-39.67,95.37,-26.47,0,0,0,0,0,2,45,1500,sample,
