session_id,trial_id,activity_label,expected_type,timestamp_ms,type,state,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,svm_raw_g,svm_filtered_g,pitch_deg,roll_deg,pitch_before_deg,roll_before_deg,pitch_after_deg,roll_after_deg,pitch_delta_deg,roll_delta_deg,posture_delta_deg,impact_threshold_g,posture_threshold_deg,stabilize_ms,decision,note
S02,T01,standing_still,non_fall,1362802,imu_sample,IDLE,0.441,0.847,0.06,1.16,0.15,-0.67,0.957,0.966,87.5,-27.35,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1363104,imu_sample,IDLE,0.452,0.867,0.042,0.87,-0.69,0.29,0.978,0.974,87.57,-27.38,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1363404,imu_sample,IDLE,0.45,0.862,0.035,0.23,0.55,0.2,0.973,0.971,87.34,-27.4,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1363706,imu_sample,IDLE,0.448,0.865,0.038,0,-1.32,-0.21,0.975,0.973,87.54,-27.38,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1364006,imu_sample,IDLE,0.452,0.86,0.043,0.32,0.76,-0.26,0.973,0.972,87.37,-27.51,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1364308,imu_sample,IDLE,0.44,0.865,0.049,2.17,3.29,0.67,0.972,0.977,87.58,-27.29,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1364608,imu_sample,IDLE,0.445,0.861,0.03,-0.49,0.06,0.26,0.969,0.973,87.53,-26.95,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1364910,imu_sample,IDLE,0.445,0.863,0.031,-1.01,1.74,0.35,0.972,0.969,87.4,-26.99,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1365210,imu_sample,IDLE,0.444,0.862,0.034,0.81,1.03,-0.09,0.971,0.97,87.65,-26.89,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1365513,imu_sample,IDLE,0.432,0.859,0.033,-0.31,0.33,-0.17,0.962,0.967,87.57,-26.83,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1365813,imu_sample,IDLE,0.436,0.866,0.028,1.3,-0.98,-0.41,0.97,0.964,87.66,-26.69,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1366112,imu_sample,IDLE,0.441,0.863,0.039,-0.61,-0.25,0.31,0.97,0.971,87.36,-27.1,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1366413,imu_sample,IDLE,0.431,0.87,0.037,0.01,2.13,0.72,0.971,0.975,87.45,-27.17,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1366713,imu_sample,IDLE,0.448,0.855,0.044,-0.44,1.02,0.34,0.966,0.967,87.06,-26.93,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
S02,T01,standing_still,non_fall,1367016,imu_sample,IDLE,0.436,0.847,0.057,2.76,1.37,-0.38,0.954,0.964,87.04,-26.86,102.86,-14.15,0,0,0,0,0,2,45,1500,sample,
