session_id,trial_id,activity_label,expected_type,timestamp_ms,type,state,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,svm_raw_g,svm_filtered_g,pitch_deg,roll_deg,pitch_before_deg,roll_before_deg,pitch_after_deg,roll_after_deg,pitch_delta_deg,roll_delta_deg,posture_delta_deg,impact_threshold_g,posture_threshold_deg,stabilize_ms,decision,note
S02,T07,side_fall_right,fall,1540488,imu_sample,IDLE,0.208,0.816,0.059,4.98,0.03,-0.18,0.844,0.847,86.82,-13.7,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1540790,imu_sample,IDLE,0.183,0.828,0.054,0.46,-1.74,0.15,0.849,0.848,86.89,-13.14,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1541092,imu_sample,IDLE,0.185,0.825,0.038,-0.73,-2.02,-0.69,0.847,0.843,86.77,-13.18,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1541394,imu_sample,IDLE,0.165,0.826,0.046,-11.51,-0.86,-2.3,0.843,0.845,85.89,-12.34,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1541695,imu_sample,IDLE,0.269,0.838,0.056,-3.53,-5.26,13.02,0.882,0.895,85.62,-15.1,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1541997,imu_sample,IDLE,0.279,0.842,0.062,6.91,10.45,4.52,0.89,0.892,87.6,-17.43,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1542299,imu_sample,IDLE,0.252,0.847,0,5.6,2.45,5.45,0.884,0.884,90.1,-16.45,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1542601,imu_sample,IDLE,0.239,0.829,-0.015,7.45,-0.52,3.3,0.863,0.87,92.21,-15.96,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1542902,imu_sample,IDLE,0.221,0.7,-0.1,8.56,19.25,22.9,0.741,0.739,100.18,-18.53,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1543204,imu_sample,IDLE,0.294,0.405,-0.258,-99.02,-17.9,84.72,0.563,0.601,111.14,-17.39,108.3,-45.62,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1543411,imu_impact,IMPACT_DETECTED,1.165,2.312,0.457,75.25,201.08,159.12,2.629,2.047,97.49,-9.42,97.49,-9.42,0,0,0,0,0,2,45,1500,pending,
S02,T07,side_fall_right,fall,1543507,imu_sample,IMPACT_DETECTED,0.665,0.2,-0.361,-341.51,112.88,42.31,0.783,1.269,89.18,-19.66,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1543807,imu_sample,WAIT_STABILIZE,0.955,-0.577,0.289,-132.18,32.48,74.31,1.153,1.1,-40.36,-52.48,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1544108,imu_sample,WAIT_STABILIZE,0.635,-0.023,0.463,67.74,-40.02,-37.95,0.786,0.806,-26.18,-54.47,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1544407,imu_sample,WAIT_STABILIZE,1.212,0.377,0.192,41.92,-82.81,-59.28,1.284,1.266,24.64,-75.1,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1544708,imu_sample,WAIT_STABILIZE,1.288,0.461,0.074,-17.65,10.27,13.85,1.37,1.366,70.29,-71.07,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1545007,imu_sample,WAIT_STABILIZE,1.112,0.048,0.313,-45.6,35.58,31.44,1.156,1.196,39.15,-66.34,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1545017,imu_decision,POSTURE_CHECK,1.088,0.036,0.328,-37.94,35.78,28.84,1.137,1.178,37.55,-66.33,97.49,-9.42,37.55,-66.33,59.94,56.91,59.94,2,45,1500,suspected_fall,
S02,T07,side_fall_right,fall,1560024,imu_sample,IDLE,1.075,0.031,0.417,-0.58,1.34,-0.06,1.154,1.16,2.81,-69.05,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1560327,imu_sample,IDLE,1.08,0.026,0.41,0.09,-0.02,0.26,1.156,1.154,2.7,-69.01,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1560626,imu_sample,IDLE,1.081,0.024,0.411,-0.58,0.33,0.29,1.157,1.158,2.39,-69.07,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1560929,imu_sample,IDLE,1.083,0.006,0.406,0.5,-0.61,-0.06,1.156,1.152,2.06,-69.08,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1561232,imu_sample,IDLE,1.081,0.011,0.418,0.55,-0.23,0.14,1.16,1.157,2.06,-69.24,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1561534,imu_sample,IDLE,1.076,0.005,0.414,1.42,1.58,-0.56,1.153,1.15,1.86,-69.26,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
S02,T07,side_fall_right,fall,1561833,imu_sample,IDLE,1.083,0.021,0.413,0.21,1.17,-0.27,1.159,1.16,2.05,-69.25,97.49,-9.42,0,0,0,0,0,2,45,1500,sample,
